,location,eventType,dt,event_name,event_date,dates
199,1400 BLOCK OF LITTLE BAY AVENUE,Flooded street,2011-08-28 13:03:27,Irene-2011-08-27,2011-08-27,2011-08-28
200,JANAF PLACE & LOWERY ROAD,Flooded street,2011-08-28 13:55:08,Irene-2011-08-27,2011-08-27,2011-08-28
201,3436 WESTMINSTER AVENUE,Flooded street,2011-08-28 14:54:27,Irene-2011-08-27,2011-08-27,2011-08-28
202,4852 ELMHURST AVENUE,Flooded street,2011-08-28 15:41:19,Irene-2011-08-27,2011-08-27,2011-08-28
203,265 W TAZEWELL STREET,Flooded street,2011-08-28 15:52:09,Irene-2011-08-27,2011-08-27,2011-08-28
204,1040 W OCEAN VIEW AVENUE,Flooded street,2011-08-28 16:49:08,Irene-2011-08-27,2011-08-27,2011-08-28
205,9700 BLOCK OF 15TH VIEW STREET,Flooded street,2011-08-29 08:30:34,Irene-2011-08-27,2011-08-27,2011-08-29
206,1500 BLOCK OF CHELA AVENUE,Flooded street,2011-08-29 08:33:21,Irene-2011-08-27,2011-08-27,2011-08-29
207,1500 BLOCK OF LEA VIEW AVENUE,Flooded street,2011-08-29 08:37:08,Irene-2011-08-27,2011-08-27,2011-08-29
208,9600 BLOCK OF RALLSTON STREET,Flooded street,2011-08-29 09:05:58,Irene-2011-08-27,2011-08-27,2011-08-29
209,1017 LITTLE BAY AVENUE,Flooded street,2011-08-29 09:15:47,Irene-2011-08-27,2011-08-27,2011-08-29
210,7720 NEWPORT AVENUE,Flooded street,2011-08-29 09:16:25,Irene-2011-08-27,2011-08-27,2011-08-29
211,800 BLOCK OF LITTLE BAY AVENUE,Flooded street,2011-08-29 09:50:14,Irene-2011-08-27,2011-08-27,2011-08-29
212,HERBERT STREET & ELMHURST AVENUE,Flooded street,2011-08-29 10:51:57,Irene-2011-08-27,2011-08-27,2011-08-29
213,800 BLOCK OF 51ST STREET,Flooded street,2012-10-27 21:05:37,Sandy-2012-10-28,2012-10-28,2012-10-27
214,16TH BAY STREET & PLEASANT AVENUE,Flooded street,2012-10-27 21:10:03,Sandy-2012-10-28,2012-10-28,2012-10-27
215,GRACE STREET & MEMORIAL PLACE,Flooded street,2012-10-28 07:21:52,Sandy-2012-10-28,2012-10-28,2012-10-28
216,19TH BAY STREET & PLEASANT AVENUE,Flooded street,2012-10-28 07:24:24,Sandy-2012-10-28,2012-10-28,2012-10-28
217,W MAIN STREET & WATERSIDE DRIVE,Flooded street,2012-10-28 07:27:25,Sandy-2012-10-28,2012-10-28,2012-10-28
218,HAMPTON BOULEVARD & LARCHMONT CRESCENT,Flooded street,2012-10-28 08:27:18,Sandy-2012-10-28,2012-10-28,2012-10-28
219,HAMPTON BOULEVARD & LEXAN AVENUE,Flooded street,2012-10-28 08:33:26,Sandy-2012-10-28,2012-10-28,2012-10-28
220,HAMPTON BOULEVARD & MAGNOLIA AVENUE,Flooded street,2012-10-28 09:02:30,Sandy-2012-10-28,2012-10-28,2012-10-28
221,2200 BLOCK OF KIMBALL TERRACE,Flooded street,2012-10-28 09:04:47,Sandy-2012-10-28,2012-10-28,2012-10-28
222,600 BLOCK OF W BRAMBLETON AVENUE,Flooded street,2012-10-28 09:11:00,Sandy-2012-10-28,2012-10-28,2012-10-28
223,FAUQUIER STREET & WHITEHEAD AVENUE,Flooded street,2012-10-28 09:20:59,Sandy-2012-10-28,2012-10-28,2012-10-28
224,MIDTOWN TUNNEL & W BRAMBLETON AVENUE,Flooded street,2012-10-28 09:21:15,Sandy-2012-10-28,2012-10-28,2012-10-28
225,E BRAMBLETON AVENUE & TIDEWATER DRIVE,Flooded street,2012-10-28 09:24:24,Sandy-2012-10-28,2012-10-28,2012-10-28
226,1000 BLOCK OF MONTICELLO AVENUE,Flooded street,2012-10-28 09:27:22,Sandy-2012-10-28,2012-10-28,2012-10-28
227,9600 BLOCK OF 4TH VIEW STREET,Flooded street,2012-10-28 09:27:41,Sandy-2012-10-28,2012-10-28,2012-10-28
228,4TH VIEW STREET & W OCEAN VIEW AVENUE,Flooded street,2012-10-28 09:28:43,Sandy-2012-10-28,2012-10-28,2012-10-28
229,800 BLOCK OF E CITY HALL AVENUE,Flooded street,2012-10-28 09:45:26,Sandy-2012-10-28,2012-10-28,2012-10-28
230,500 BLOCK OF W OCEAN VIEW AVENUE,Flooded street,2012-10-28 09:47:20,Sandy-2012-10-28,2012-10-28,2012-10-28
231,BELLAMY AVENUE & FAUQUIER STREET,Flooded street,2012-10-28 09:48:06,Sandy-2012-10-28,2012-10-28,2012-10-28
232,COLONIAL AVENUE & REDGATE AVENUE,Flooded street,2012-10-28 09:52:58,Sandy-2012-10-28,2012-10-28,2012-10-28
233,GRANBY STREET & LLEWELLYN AVENUE,Flooded street,2012-10-28 09:54:44,Sandy-2012-10-28,2012-10-28,2012-10-28
234,9000 BLOCK OF HAMPTON BOULEVARD,Flooded street,2012-10-28 10:01:49,Sandy-2012-10-28,2012-10-28,2012-10-28
235,E MAIN STREET & PARK AVENUE,Flooded street,2012-10-28 10:53:45,Sandy-2012-10-28,2012-10-28,2012-10-28
236,CHAPEL STREET & E CHARLOTTE STREET,Flooded street,2012-10-28 11:20:21,Sandy-2012-10-28,2012-10-28,2012-10-28
237,E VIRGINIA BEACH BOULEVARD & MONTICELLO AVENUE,Flooded street,2012-10-28 11:25:09,Sandy-2012-10-28,2012-10-28,2012-10-28
238,6100 SEDGEFIELD DRIVE,Flooded street,2012-10-28 11:26:00,Sandy-2012-10-28,2012-10-28,2012-10-28
239,800 BLOCK OF NORVIEW AVENUE,Flooded street,2012-10-28 11:26:33,Sandy-2012-10-28,2012-10-28,2012-10-28
240,CAMPOSTELLA ROAD & KIMBALL TERRACE,Flooded street,2012-10-28 18:54:04,Sandy-2012-10-28,2012-10-28,2012-10-28
241,BOLLING AVENUE & JAMESTOWN CRESCENT,Flooded street,2012-10-28 19:37:09,Sandy-2012-10-28,2012-10-28,2012-10-28
242,MOWBRAY ARCH & W OLNEY ROAD,Flooded street,2012-10-28 19:42:45,Sandy-2012-10-28,2012-10-28,2012-10-28
243,700 BLOCK OF STOCKLEY GARDENS,Flooded street,2012-10-28 19:47:57,Sandy-2012-10-28,2012-10-28,2012-10-28
244,E BRAMBLETON AVENUE & ROSWELL AVENUE,Flooded street,2012-10-28 19:51:40,Sandy-2012-10-28,2012-10-28,2012-10-28
245,E BRAMBLETON AVENUE & I-264E HIGHWAY,Flooded street,2012-10-28 20:34:45,Sandy-2012-10-28,2012-10-28,2012-10-28
246,100 BLOCK OF E CHARLOTTE STREET,Flooded street,2012-10-28 20:40:19,Sandy-2012-10-28,2012-10-28,2012-10-28
247,1100 BLOCK OF HOLT STREET,Flooded street,2012-10-28 20:46:22,Sandy-2012-10-28,2012-10-28,2012-10-28
248,ARMISTEAD AVENUE & E PRINCESS ANNE ROAD,Flooded street,2012-10-28 20:46:49,Sandy-2012-10-28,2012-10-28,2012-10-28
249,300 BLOCK OF E CITY HALL AVENUE,Flooded street,2012-10-28 20:47:45,Sandy-2012-10-28,2012-10-28,2012-10-28
250,49TH STREET & HAMPTON BOULEVARD,Flooded street,2012-10-28 20:49:49,Sandy-2012-10-28,2012-10-28,2012-10-28
251,E CHARLOTTE STREET & RUFFNER STREET,Flooded street,2012-10-28 20:54:42,Sandy-2012-10-28,2012-10-28,2012-10-28
252,MAYFLOWER ROAD & W 41ST STREET,Flooded street,2012-10-28 21:17:21,Sandy-2012-10-28,2012-10-28,2012-10-28
253,MAYFLOWER ROAD & W 42ND STREET,Flooded street,2012-10-28 21:17:50,Sandy-2012-10-28,2012-10-28,2012-10-28
254,38TH STREET & CAROLINA AVENUE,Flooded street,2012-10-28 21:58:22,Sandy-2012-10-28,2012-10-28,2012-10-28
255,1400 BLOCK OF KEMPSVILLE ROAD,Flooded street,2012-10-28 22:02:56,Sandy-2012-10-28,2012-10-28,2012-10-28
256,KEMPSVILLE ROAD & LOWERY ROAD,Flooded street,2012-10-28 22:11:02,Sandy-2012-10-28,2012-10-28,2012-10-28
257,2200 BLOCK OF E OCEAN VIEW AVENUE,Flooded street,2012-10-28 23:29:31,Sandy-2012-10-28,2012-10-28,2012-10-28
258,900 BLOCK OF BAGNALL ROAD,Flooded street,2012-10-29 00:14:44,Sandy-2012-10-28,2012-10-28,2012-10-29
259,6700 BLOCK OF AZALEA GARDEN ROAD,Flooded street,2012-10-29 00:31:29,Sandy-2012-10-28,2012-10-28,2012-10-29
260,1900 BLOCK OF E OCEAN VIEW AVENUE,Flooded street,2012-10-29 01:44:13,Sandy-2012-10-28,2012-10-28,2012-10-29
261,1100 BLOCK OF MARSH STREET,Flooded street,2012-10-29 02:36:27,Sandy-2012-10-28,2012-10-28,2012-10-29
262,3RD BAY STREET & PRETTY LAKE AVENUE,Flooded street,2012-10-29 03:01:01,Sandy-2012-10-28,2012-10-28,2012-10-29
263,6200 BLOCK OF ALEXANDER STREET,Flooded street,2012-10-29 03:28:12,Sandy-2012-10-28,2012-10-28,2012-10-29
264,7500 BLOCK OF TIDEWATER DRIVE,Flooded street,2012-10-29 04:49:03,Sandy-2012-10-28,2012-10-28,2012-10-29
265,TIDEWATER DRIVE & WILLOW WOOD DRIVE,Flooded street,2012-10-29 04:51:56,Sandy-2012-10-28,2012-10-28,2012-10-29
266,1000 BLOCK OF 49TH STREET,Flooded street,2012-10-29 05:47:20,Sandy-2012-10-28,2012-10-28,2012-10-29
267,E 22ND STREET & MONTICELLO AVENUE,Flooded street,2012-10-29 05:52:46,Sandy-2012-10-28,2012-10-28,2012-10-29
268,400 BLOCK OF W OCEAN VIEW AVENUE,Flooded street,2012-10-29 07:00:00,Sandy-2012-10-28,2012-10-28,2012-10-29
269,SAINT PAULS BOULEVARD & UNION STREET,Flooded street,2012-10-29 07:18:46,Sandy-2012-10-28,2012-10-28,2012-10-29
270,1300 BLOCK OF UPPER BRANDON PLACE,Flooded street,2012-10-29 07:23:44,Sandy-2012-10-28,2012-10-28,2012-10-29
271,1300 BLOCK OF SURREY CRESCENT,Flooded street,2012-10-29 07:24:28,Sandy-2012-10-28,2012-10-28,2012-10-29
272,E LITTLE CREEK ROAD & TIDEWATER DRIVE,Flooded underpass,2012-10-29 07:29:23,Sandy-2012-10-28,2012-10-28,2012-10-29
273,300 BLOCK OF E LITTLE CREEK ROAD,Flooded street,2012-10-29 07:34:45,Sandy-2012-10-28,2012-10-28,2012-10-29
274,SAINT PAULS BOULEVARD & WATERSIDE DRIVE,Flooded street,2012-10-29 07:39:59,Sandy-2012-10-28,2012-10-28,2012-10-29
275,E PRINCESS ANNE ROAD & MONTICELLO AVENUE,Flooded street,2012-10-29 07:41:46,Sandy-2012-10-28,2012-10-28,2012-10-29
276,9500 BLOCK OF SHORE DRIVE,Flooded street,2012-10-29 07:47:00,Sandy-2012-10-28,2012-10-28,2012-10-29
277,E VIRGINIA BEACH BOULEVARD & TIDEWATER DRIVE,Flooded street,2012-10-29 07:58:17,Sandy-2012-10-28,2012-10-28,2012-10-29
278,2500 BLOCK OF E OCEAN VIEW AVENUE,Flooded street,2012-10-29 07:58:46,Sandy-2012-10-28,2012-10-28,2012-10-29
279,6TH BAY STREET & PRETTY LAKE AVENUE,Flooded street,2012-10-29 08:11:53,Sandy-2012-10-28,2012-10-28,2012-10-29
280,DUKE STREET & W BRAMBLETON AVENUE,Flooded street,2012-10-29 08:18:11,Sandy-2012-10-28,2012-10-28,2012-10-29
281,BOTETOURT STREET & W BRAMBLETON AVENUE,Flooded street,2012-10-29 08:47:47,Sandy-2012-10-28,2012-10-28,2012-10-29
282,COLLEGE PLACE & YARMOUTH STREET,Flooded street,2012-10-29 09:07:14,Sandy-2012-10-28,2012-10-28,2012-10-29
283,ALEXANDER STREET & STRAND STREET,Flooded street,2012-10-29 09:37:49,Sandy-2012-10-28,2012-10-28,2012-10-29
284,COLLEY AVENUE & W BRAMBLETON AVENUE,Flooded street,2012-10-29 10:08:12,Sandy-2012-10-28,2012-10-28,2012-10-29
285,E BRAMBLETON AVENUE & TIDEWATER DRIVE,Flooded underpass,2012-10-29 10:10:37,Sandy-2012-10-28,2012-10-28,2012-10-29
286,E CITY HALL AVENUE & TIDEWATER DRIVE,Flooded street,2012-10-29 10:10:54,Sandy-2012-10-28,2012-10-28,2012-10-29
287,HAMPTON BOULEVARD & NORTH SHORE ROAD,Flooded street,2012-10-29 10:11:57,Sandy-2012-10-28,2012-10-28,2012-10-29
288,7200 BLOCK OF NEWPORT AVENUE,Flooded street,2012-10-29 10:15:30,Sandy-2012-10-28,2012-10-28,2012-10-29
289,300 BLOCK OF YARMOUTH STREET,Flooded street,2012-10-29 10:21:32,Sandy-2012-10-28,2012-10-28,2012-10-29
290,5600 BLOCK OF TIDEWATER DRIVE,Flooded street,2012-10-29 10:29:05,Sandy-2012-10-28,2012-10-28,2012-10-29
291,1145 BOLLING AVENUE,Flooded street,2012-10-29 10:55:24,Sandy-2012-10-28,2012-10-28,2012-10-29
292,DELAWARE AVENUE & GRANBY STREET,Flooded street,2012-10-29 10:58:10,Sandy-2012-10-28,2012-10-28,2012-10-29
293,HARBOUR STREET & W TAZEWELL STREET,Flooded street,2012-10-29 10:59:17,Sandy-2012-10-28,2012-10-28,2012-10-29
294,200 BLOCK OF BROOKE AVENUE,Flooded street,2012-10-29 10:59:36,Sandy-2012-10-28,2012-10-28,2012-10-29
295,9600 BLOCK OF 3RD BAY STREET,Flooded street,2012-10-29 11:00:47,Sandy-2012-10-28,2012-10-28,2012-10-29
296,14TH VIEW STREET & W OCEAN VIEW AVENUE,Flooded street,2012-10-29 11:02:12,Sandy-2012-10-28,2012-10-28,2012-10-29
297,700 BLOCK OF LIGON STREET,Flooded street,2012-10-29 11:03:12,Sandy-2012-10-28,2012-10-28,2012-10-29
298,COLLEY AVENUE & REDGATE AVENUE,Flooded street,2012-10-29 11:47:48,Sandy-2012-10-28,2012-10-28,2012-10-29
299,E BERKLEY AVENUE & FAUQUIER STREET,Flooded street,2012-10-29 11:53:25,Sandy-2012-10-28,2012-10-28,2012-10-29
300,NORVIEW AVENUE & TIDEWATER DRIVE,Flooded street,2012-10-29 11:58:35,Sandy-2012-10-28,2012-10-28,2012-10-29
301,500 BLOCK OF E INDIAN RIVER ROAD,Flooded street,2012-10-29 12:01:54,Sandy-2012-10-28,2012-10-28,2012-10-29
302,1600 BLOCK OF CHURCH STREET,Flooded street,2012-10-29 12:04:41,Sandy-2012-10-28,2012-10-28,2012-10-29
303,GILES CIRCLE & NORVIEW AVENUE,Flooded street,2012-10-29 12:05:20,Sandy-2012-10-28,2012-10-28,2012-10-29
304,300 BLOCK OF W BRAMBLETON AVENUE,Flooded street,2012-10-29 12:06:41,Sandy-2012-10-28,2012-10-28,2012-10-29
305,8TH BAY STREET & E OCEAN VIEW AVENUE,Flooded street,2012-10-29 12:07:20,Sandy-2012-10-28,2012-10-28,2012-10-29
306,1300 BLOCK OF E BRAMBLETON AVENUE,Flooded underpass,2012-10-29 12:07:52,Sandy-2012-10-28,2012-10-28,2012-10-29
307,E VIRGINIA BEACH BOULEVARD & GRANBY STREET,Flooded street,2012-10-29 12:23:47,Sandy-2012-10-28,2012-10-28,2012-10-29
308,5200 BLOCK OF NORVELLA AVENUE,Flooded street,2012-10-29 12:46:43,Sandy-2012-10-28,2012-10-28,2012-10-29
309,LLEWELLYN AVENUE & SHIRLEY AVENUE,Flooded street,2012-10-29 13:44:15,Sandy-2012-10-28,2012-10-28,2012-10-29
310,2800 BLOCK OF E PRINCESS ANNE ROAD,Flooded street,2012-10-29 13:45:25,Sandy-2012-10-28,2012-10-28,2012-10-29
311,300 BLOCK OF ROGERS AVENUE,Flooded street,2012-10-29 14:23:20,Sandy-2012-10-28,2012-10-28,2012-10-29
312,HAMPTON BOULEVARD & JAMESTOWN CRESCENT,Flooded street,2012-10-29 14:37:56,Sandy-2012-10-28,2012-10-28,2012-10-29
313,E BAYVIEW BOULEVARD & WILLOW TERRACE,Flooded street,2012-10-29 14:39:35,Sandy-2012-10-28,2012-10-28,2012-10-29
314,1156 LAND STREET,Flooded street,2012-10-29 14:40:13,Sandy-2012-10-28,2012-10-28,2012-10-29
315,COMSTOCK STREET & WESTMINSTER AVENUE,Flooded street,2012-10-29 14:40:46,Sandy-2012-10-28,2012-10-28,2012-10-29
316,E VIRGINIA BEACH BOULEVARD & HANSON AVENUE,Flooded street,2012-10-29 15:35:15,Sandy-2012-10-28,2012-10-28,2012-10-29
317,COLLEY AVENUE & RALEIGH AVENUE,Flooded street,2012-10-29 16:57:19,Sandy-2012-10-28,2012-10-28,2012-10-29
318,GRANBY STREET & LLEWELLYN AVENUE,Flooded street,2013-10-08 11:20:04,Heavy Rain-2013-10-09,2013-10-09,2013-10-08
319,800 BLOCK OF 51ST STREET,Flooded street,2013-10-08 11:20:45,Heavy Rain-2013-10-09,2013-10-09,2013-10-08
320,BOTETOURT STREET & MOWBRAY ARCH,Flooded street,2013-10-08 12:28:34,Heavy Rain-2013-10-09,2013-10-09,2013-10-08
321,MAYFLOWER ROAD & VIRGINIA AVENUE,Flooded street,2013-10-09 12:30:50,Heavy Rain-2013-10-09,2013-10-09,2013-10-09
322,600 BLOCK OF TIDEWATER DRIVE,Flooded street,2013-10-09 12:42:17,Heavy Rain-2013-10-09,2013-10-09,2013-10-09
323,20TH BAY STREET & PLEASANT AVENUE,Flooded street,2013-10-09 15:07:13,Heavy Rain-2013-10-09,2013-10-09,2013-10-09
324,9600 BLOCK OF 1ST BAY STREET,Flooded street,2013-10-09 15:12:11,Heavy Rain-2013-10-09,2013-10-09,2013-10-09
325,9600 BLOCK OF 2ND BAY STREET,Flooded street,2013-10-09 15:12:36,Heavy Rain-2013-10-09,2013-10-09,2013-10-09
326,9600 BLOCK OF 3RD BAY STREET,Flooded street,2013-10-09 15:13:06,Heavy Rain-2013-10-09,2013-10-09,2013-10-09
327,9600 BLOCK OF 4TH BAY STREET,Flooded street,2013-10-09 15:14:12,Heavy Rain-2013-10-09,2013-10-09,2013-10-09
328,9600 BLOCK OF 5TH BAY STREET,Flooded street,2013-10-09 15:14:46,Heavy Rain-2013-10-09,2013-10-09,2013-10-09
329,9500 BLOCK OF 7TH BAY STREET,Flooded street,2013-10-09 15:15:42,Heavy Rain-2013-10-09,2013-10-09,2013-10-09
330,9600 BLOCK OF 7TH BAY STREET,Flooded street,2013-10-09 15:16:10,Heavy Rain-2013-10-09,2013-10-09,2013-10-09
331,HAMPTON BOULEVARD & MAGNOLIA AVENUE,Flooded street,2013-10-09 15:56:29,Heavy Rain-2013-10-09,2013-10-09,2013-10-09
332,E VIRGINIA BEACH BOULEVARD & GRANBY STREET,Flooded street,2013-10-09 15:57:43,Heavy Rain-2013-10-09,2013-10-09,2013-10-09
333,4TH VIEW STREET & W OCEAN VIEW AVENUE,Flooded street,2013-10-09 15:58:10,Heavy Rain-2013-10-09,2013-10-09,2013-10-09
334,BEAUMONT STREET & MODOC AVENUE,Flooded street,2013-10-09 15:59:02,Heavy Rain-2013-10-09,2013-10-09,2013-10-09
335,SHORE DRIVE & PLEASANT AVENUE,Flooded street,2013-10-09 15:59:49,Heavy Rain-2013-10-09,2013-10-09,2013-10-09
336,9600 BLOCK OF 8TH BAY STREET,Flooded street,2013-10-09 16:00:47,Heavy Rain-2013-10-09,2013-10-09,2013-10-09
337,9600 BLOCK OF 9TH BAY STREET,Flooded street,2013-10-09 16:01:23,Heavy Rain-2013-10-09,2013-10-09,2013-10-09
338,9600 BLOCK OF 10TH BAY STREET,Flooded street,2013-10-09 16:01:41,Heavy Rain-2013-10-09,2013-10-09,2013-10-09
339,9600 BLOCK OF 11TH BAY STREET,Flooded street,2013-10-09 16:01:57,Heavy Rain-2013-10-09,2013-10-09,2013-10-09
340,9600 BLOCK OF 13TH BAY STREET,Flooded street,2013-10-09 16:03:01,Heavy Rain-2013-10-09,2013-10-09,2013-10-09
341,9600 BLOCK OF 14TH BAY STREET,Flooded street,2013-10-09 16:03:25,Heavy Rain-2013-10-09,2013-10-09,2013-10-09
342,9600 BLOCK OF 15TH BAY STREET,Flooded street,2013-10-09 16:03:43,Heavy Rain-2013-10-09,2013-10-09,2013-10-09
343,9600 BLOCK OF 17TH BAY STREET,Flooded street,2013-10-09 16:04:29,Heavy Rain-2013-10-09,2013-10-09,2013-10-09
344,9600 BLOCK OF 18TH BAY STREET,Flooded street,2013-10-09 16:04:47,Heavy Rain-2013-10-09,2013-10-09,2013-10-09
345,9600 BLOCK OF 19TH BAY STREET,Flooded street,2013-10-09 16:05:02,Heavy Rain-2013-10-09,2013-10-09,2013-10-09
346,9600 BLOCK OF 20TH BAY STREET,Flooded street,2013-10-09 16:05:22,Heavy Rain-2013-10-09,2013-10-09,2013-10-09
347,E LITTLE CREEK ROAD & GALVESTON BOULEVARD,Flooded street,2013-10-09 19:55:51,Heavy Rain-2013-10-09,2013-10-09,2013-10-09
348,BOUSH STREET & W OLNEY ROAD,Flooded street,2013-10-09 23:38:59,Heavy Rain-2013-10-09,2013-10-09,2013-10-09
349,MAY AVENUE & TIDEWATER DRIVE,Flooded street,2013-10-10 03:07:24,Heavy Rain-2013-10-09,2013-10-09,2013-10-10
350,100 BLOCK OF PARK AVENUE,Flooded street,2013-10-10 03:15:53,Heavy Rain-2013-10-09,2013-10-09,2013-10-10
351,CONNECTICUT AVENUE & LLEWELLYN AVENUE,Flooded underpass,2013-10-10 13:32:24,Heavy Rain-2013-10-09,2013-10-09,2013-10-10
352,1520 E OCEAN VIEW AVENUE,Flooded street,2013-10-10 13:46:26,Heavy Rain-2013-10-09,2013-10-09,2013-10-10
353,18TH BAY STREET & PLEASANT AVENUE,Flooded street,2013-10-10 14:42:26,Heavy Rain-2013-10-09,2013-10-09,2013-10-10
354,2100 COLLEY AVENUE,Flooded street,2014-05-16 08:41:56,Heavy Rain-2014-05-16,2014-05-16,2014-05-16
355,3500 COLONIAL AVENUE,Flooded street,2014-05-16 08:47:35,Heavy Rain-2014-05-16,2014-05-16,2014-05-16
356,9600 BLOCK OF BEACH VIEW STREET,Flooded street,2014-05-16 08:48:51,Heavy Rain-2014-05-16,2014-05-16,2014-05-16
357,300 E LITTLE CREEK ROAD,Flooded street,2014-05-16 08:52:30,Heavy Rain-2014-05-16,2014-05-16,2014-05-16
358,1000 BLOCK OF PARK AVENUE,Flooded street,2014-05-16 08:54:51,Heavy Rain-2014-05-16,2014-05-16,2014-05-16
359,3800 BLOCK OF HAMPTON BOULEVARD,Flooded street,2014-05-16 09:01:05,Heavy Rain-2014-05-16,2014-05-16,2014-05-16
360,3500 BLOCK OF COLONIAL AVENUE,Flooded street,2014-05-16 09:15:44,Heavy Rain-2014-05-16,2014-05-16,2014-05-16
361,CORPREW AVENUE & MADISON AVENUE,Flooded street,2014-05-16 09:16:28,Heavy Rain-2014-05-16,2014-05-16,2014-05-16
362,1500 BLOCK OF E OCEAN VIEW AVENUE,Flooded street,2014-05-16 09:19:21,Heavy Rain-2014-05-16,2014-05-16,2014-05-16
363,E BRAMBLETON AVENUE & SAINT PAULS BOULEVARD,Flooded street,2014-05-16 09:20:31,Heavy Rain-2014-05-16,2014-05-16,2014-05-16
364,GUY AVENUE & TIDEWATER DRIVE,Flooded street,2014-05-16 09:23:58,Heavy Rain-2014-05-16,2014-05-16,2014-05-16
365,E VIRGINIA BEACH BOULEVARD & MONTICELLO AVENUE,Flooded street,2014-05-16 09:24:52,Heavy Rain-2014-05-16,2014-05-16,2014-05-16
366,1100 BLOCK OF COLLEY AVENUE,Flooded street,2014-05-16 09:27:41,Heavy Rain-2014-05-16,2014-05-16,2014-05-16
367,1200 BLOCK OF COLONIAL AVENUE,Flooded street,2014-05-16 09:28:47,Heavy Rain-2014-05-16,2014-05-16,2014-05-16
368,GOFF STREET & MALTBY AVENUE,Flooded street,2014-05-16 09:37:06,Heavy Rain-2014-05-16,2014-05-16,2014-05-16
369,900 BLOCK OF NORFOLK SQUARE,Flooded street,2014-05-16 09:38:49,Heavy Rain-2014-05-16,2014-05-16,2014-05-16
370,HOLT STREET & REILLY STREET,Flooded street,2014-05-16 09:41:40,Heavy Rain-2014-05-16,2014-05-16,2014-05-16
371,9600 BLOCK OF 4TH VIEW STREET,Flooded street,2014-05-16 09:56:36,Heavy Rain-2014-05-16,2014-05-16,2014-05-16
372,5TH BAY STREET & E OCEAN VIEW AVENUE,Flooded street,2014-05-16 10:00:46,Heavy Rain-2014-05-16,2014-05-16,2014-05-16
373,GRANBY STREET & LLEWELLYN AVENUE,Flooded street,2014-05-16 10:01:55,Heavy Rain-2014-05-16,2014-05-16,2014-05-16
374,CAPEVIEW AVENUE & E BAYVIEW BOULEVARD,Flooded street,2014-05-16 10:04:35,Heavy Rain-2014-05-16,2014-05-16,2014-05-16
375,225 W OLNEY ROAD,Flooded street,2014-05-16 10:52:39,Heavy Rain-2014-05-16,2014-05-16,2014-05-16
376,BOUSH STREET & W OLNEY ROAD,Flooded street,2014-05-16 10:58:46,Heavy Rain-2014-05-16,2014-05-16,2014-05-16
377,COLLEY AVENUE & W 21ST STREET,Flooded underpass,2014-05-16 11:00:05,Heavy Rain-2014-05-16,2014-05-16,2014-05-16
378,E VIRGINIA BEACH BOULEVARD & TIDEWATER DRIVE,Flooded street,2014-05-16 11:11:52,Heavy Rain-2014-05-16,2014-05-16,2014-05-16
379,8100 BLOCK OF HAMPTON BOULEVARD,Flooded street,2014-05-16 11:32:49,Heavy Rain-2014-05-16,2014-05-16,2014-05-16
380,1100 BLOCK OF PARK AVENUE,Flooded street,2014-05-16 11:45:49,Heavy Rain-2014-05-16,2014-05-16,2014-05-16
381,HANSON AVENUE & GOFF STREET,Flooded street,2014-05-16 12:02:26,Heavy Rain-2014-05-16,2014-05-16,2014-05-16
382,MUNSON STREET & W 26TH STREET,Flooded street,2014-05-16 12:02:49,Heavy Rain-2014-05-16,2014-05-16,2014-05-16
383,E VIRGINIA BEACH BOULEVARD & CHURCH STREET,Flooded street,2014-05-16 12:04:53,Heavy Rain-2014-05-16,2014-05-16,2014-05-16
384,E VIRGINIA BEACH BOULEVARD & SAINT PAUL STREET,Flooded street,2014-05-16 12:05:14,Heavy Rain-2014-05-16,2014-05-16,2014-05-16
385,HAMPTON BOULEVARD & W PRINCESS ANNE ROAD,Flooded street,2014-05-16 13:10:50,Heavy Rain-2014-05-16,2014-05-16,2014-05-16
386,35TH STREET & COLONIAL AVENUE,Flooded street,2014-05-16 13:11:15,Heavy Rain-2014-05-16,2014-05-16,2014-05-16
387,LLEWELLYN AVENUE & SHIRLEY AVENUE,Flooded street,2014-05-16 14:55:04,Heavy Rain-2014-05-16,2014-05-16,2014-05-16
388,300 BLOCK OF SHIRLEY AVENUE,Flooded street,2014-05-16 14:55:30,Heavy Rain-2014-05-16,2014-05-16,2014-05-16
389,719 DUNE STREET,Flooded street,2014-06-09 10:16:02,unnamed-2014-06-09,2014-06-09,2014-06-09
390,18TH STREET & GRANBY STREET,Flooded street,2014-06-20 07:49:33,Thunderstorms-2014-06-19,2014-06-19,2014-06-20
391,E PRINCESS ANNE ROAD & GRANBY STREET,Flooded street,2014-06-20 07:51:09,Thunderstorms-2014-06-19,2014-06-19,2014-06-20
392,1300 BLOCK OF BOTETOURT GARDENS,Flooded street,2014-06-20 07:54:16,Thunderstorms-2014-06-19,2014-06-19,2014-06-20
393,LLEWELLYN AVENUE & SHIRLEY AVENUE,Flooded street,2014-06-20 07:55:20,Thunderstorms-2014-06-19,2014-06-19,2014-06-20
394,600 BLOCK OF BOTETOURT GARDENS,Flooded street,2014-06-20 07:59:37,Thunderstorms-2014-06-19,2014-06-19,2014-06-20
395,4TH VIEW STREET & W OCEAN VIEW AVENUE,Flooded street,2014-07-04 02:18:02,Arthur-2014-07-03,2014-07-03,2014-07-04
